	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
3-hydroxyphenylacetate degradation	2.41E-05	1.28E-05	7.61E-06	2.03E-05	3.45E-07	1.63E-05	3.78E-05	0.000782468	2.03E-05	1.68E-06	4.17E-06	2.80E-05	2.86E-05	3.82E-05	6.40E-05	6.07E-06	1.18E-05	4.58E-05	2.00E-05	3.89E-05	2.15E-05	3.05E-05	2.28E-05	0.000163717	0.001689179	2.52E-06	1.37E-05	3.83E-05	3.87E-05	1.37E-05	0.001089562	0.000151848	4.80E-05	2.02E-05	0.000106335	5.88E-05	0.000205939	1.68E-05	0.00013179	5.88E-05	1.76E-05	3.10E-05	4.54E-06	0.000464378	0.001241804	0.000653943	0.000153604	0.000776482	0.000543605	7.19E-05	2.04E-05
L-arginine, putrescine, and 4-aminobutanoate degradation	0	9.84E-06	1.03E-05	2.54E-06	2.44E-08	1.48E-05	5.27E-05	0.000238354	1.98E-05	2.37E-07	3.43E-07	7.99E-05	6.06E-05	1.03E-05	3.14E-05	1.43E-06	1.17E-05	6.83E-05	2.88E-05	6.63E-05	4.09E-05	4.30E-05	2.91E-05	9.79E-05	0.000929447	4.94E-06	4.74E-05	4.02E-05	3.77E-05	8.23E-06	0.000702719	0.000171933	0.000122736	4.01E-05	2.53E-05	5.77E-05	0.000389092	2.30E-05	0.0002156	3.86E-05	2.90E-05	2.08E-05	4.91E-06	0.000176459	0.000962881	0.00022922	0.000187034	0.000327901	0.000256993	0.000150349	3.15E-05
L-arginine degradation II	8.68E-07	1.75E-06	9.55E-07	5.46E-06	7.63E-08	1.69E-06	9.36E-06	7.38E-05	4.61E-06	8.96E-07	1.24E-06	1.33E-05	2.89E-05	1.15E-05	1.21E-05	7.10E-07	4.43E-06	2.42E-05	6.37E-06	2.61E-05	9.29E-06	1.77E-05	5.28E-06	1.75E-05	0.000406229	9.35E-07	8.53E-06	1.08E-05	1.11E-05	2.37E-06	0.000913428	8.41E-05	2.10E-05	1.33E-05	1.92E-05	2.05E-05	0.000162579	8.97E-06	0.000100849	2.69E-05	1.31E-05	4.42E-06	1.73E-06	9.89E-05	0.000403862	7.15E-05	9.28E-05	0.000184347	4.07E-05	2.87E-05	8.36E-07
Enterobacterial common antigen biosynthesis	5.42E-06	3.56E-06	2.66E-05	7.08E-07	1.17E-08	3.38E-06	1.66E-05	0.000151094	3.29E-06	9.08E-08	3.44E-07	3.22E-05	9.26E-06	3.09E-06	1.21E-05	6.97E-06	5.00E-06	4.30E-05	8.58E-06	5.15E-05	9.22E-06	2.75E-05	7.09E-06	2.39E-05	0.000607432	1.91E-06	1.39E-05	0.000246116	1.08E-05	5.30E-06	0.000201937	0.000130649	3.66E-05	2.76E-05	8.10E-06	4.86E-05	0.000271437	7.55E-06	0.000159601	2.69E-05	1.92E-05	1.00E-05	2.27E-06	0.000103938	0.000648063	0.000145962	0.000130998	0.000215515	7.38E-05	0.000721552	2.01E-06
Fatty acid β-oxidation 	6.60E-05	5.64E-05	7.00E-05	0.000168441	0.000127361	0.000151759	0.00015325	0.002164712	0.000542985	5.48E-05	0.000130266	0.000141203	0.000291573	0.00019318	0.000306672	8.34E-05	6.02E-05	0.000199924	7.71E-05	0.000292947	0.000137208	0.000180384	8.81E-05	0.000462329	0.003980216	1.16E-05	6.07E-05	0.00049425	0.000105922	4.10E-05	0.00482315	0.000478007	0.000258366	0.000116689	0.000449493	0.000285176	0.000565617	0.000101335	0.000394805	0.000210889	7.96E-05	8.87E-05	1.81E-05	0.001716361	0.002817419	0.00145385	0.000554163	0.002519644	0.00168779	0.000407452	0.000202674
Methanogenesis from acetae	0.000316578	1.37E-05	1.09E-05	1.25E-05	4.55E-05	3.31E-05	7.75E-05	0.000956948	5.87E-05	6.00E-06	2.55E-06	5.38E-05	0.000107521	1.62E-05	0.00015831	9.57E-06	3.24E-06	6.20E-05	5.16E-05	8.95E-05	6.59E-05	0.000160865	7.38E-05	0.000364106	0.000633182	5.16E-06	3.13E-05	5.94E-05	0.000145541	6.96E-06	0.000305579	0.000163451	0.000167836	0.00105394	0.000202835	0.000311066	1.73E-05	0.000177898	1.78E-05	6.15E-05	4.75E-05	2.16E-05	7.02E-06	0.000169558	0.001100424	0.000559041	0.000158237	0.001070418	0.000684257	0.000142954	7.18E-05
3-phenylpropanoate degradation	2.89E-05	1.14E-05	6.16E-06	2.61E-05	3.91E-06	2.27E-05	4.08E-05	0.00064661	4.13E-05	2.03E-06	5.99E-06	2.59E-05	2.69E-05	3.89E-05	5.95E-05	6.03E-06	1.14E-05	4.02E-05	1.73E-05	3.39E-05	1.76E-05	2.56E-05	1.84E-05	0.000131483	0.001476216	2.90E-06	1.49E-05	1.52E-05	3.23E-05	1.14E-05	0.000674385	0.000104043	4.82E-05	2.38E-05	8.43E-05	4.98E-05	0.000160013	1.61E-05	0.000103511	4.96E-05	1.65E-05	2.60E-05	6.88E-06	0.000235632	0.000986966	0.000518773	0.000141025	0.000666074	0.000404526	7.09E-05	2.53E-05
L-histidine degradation II	8.45E-05	1.58E-05	1.27E-05	6.84E-05	8.68E-07	5.84E-05	4.35E-05	0.001444515	0.000197053	2.28E-07	1.38E-05	3.24E-05	4.70E-05	0.000108492	0.000213953	1.59E-05	1.02E-05	6.97E-05	4.52E-05	8.65E-05	5.02E-05	4.33E-05	7.09E-05	0.000374813	0.002042788	5.54E-06	1.87E-05	4.41E-05	0.000104679	1.31E-05	0.001607009	0.00019302	5.95E-05	3.37E-05	0.000233179	0.000101264	0.0003378	7.95E-06	0.000154755	0.000139499	2.66E-05	5.22E-05	1.23E-05	0.000360999	0.001401412	0.001021668	0.000238859	0.001401681	0.001315358	0.000150085	0.000106743
Toluene degradation III	1.62E-05	1.52E-05	6.96E-06	3.50E-07	0	8.52E-06	5.43E-05	0.000422959	7.69E-06	9.59E-06	0	4.36E-05	3.52E-05	3.97E-06	2.34E-05	3.24E-06	1.51E-05	4.71E-05	1.25E-05	6.49E-05	2.62E-05	3.71E-05	1.34E-05	0.000124992	0.001134399	3.67E-06	2.01E-05	2.12E-05	2.92E-05	1.43E-05	0.001196419	0.00017724	6.30E-05	2.38E-05	5.71E-05	6.53E-05	0.00024824	2.63E-05	0.000154559	4.35E-05	2.29E-05	9.57E-06	4.98E-06	0.000372736	0.000921104	0.000295188	0.000145456	0.000306366	0.000303782	7.54E-05	7.27E-05
Superpathway of phenylethylamine degradation	4.17E-06	8.40E-06	5.33E-06	6.03E-09	0	4.75E-06	2.46E-05	0.000346486	7.48E-06	3.17E-06	0	2.64E-05	3.34E-05	4.32E-06	1.45E-05	1.82E-06	6.22E-06	4.35E-05	9.82E-06	4.61E-05	1.65E-05	2.92E-05	9.96E-06	9.38E-05	0.000731561	1.91E-06	1.40E-05	1.23E-05	1.53E-05	7.07E-06	0.000354998	0.000121763	3.93E-05	2.18E-05	2.21E-05	4.77E-05	0.000217438	1.33E-05	0.000136862	2.07E-05	2.06E-05	7.05E-06	3.23E-06	0.000337598	0.000815354	0.000265256	0.000113577	0.000225212	0.000124185	6.07E-05	1.68E-05
