	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
Superpathway of (Kdo)2-lipid A biosynthesis	7.49E-05	0.000655544	0.001902329	0.002885274	0.00199432	2.15E-05	0.001079351	0.000729984	0.001476308	2.15E-05	0.002963038	0.003013642	0.002930207	0.00328875	0.00154284	0.001730648	3.54E-05	0.000533549	0.00187042	0.000984449	0.000493372	0.000648864	0.00077808	0.001091094	0.00162128	1.48E-05	0.000133792	0.002142049	0.000193304	0.001300167	0.000702632	0.000477573	0.000577764	0.000192131	5.05E-05	0.00074386	0.001777151	5.96E-05	0.000550898	0.000400039	0.00071568	5.61E-05	1.83E-05	0.00065617	0.001706817	0.000573038	0.001093533	0.000947317	0.001545582	0.002729472	3.65E-06
Superpathway of L-methionine biosynthesis	0.000623618	0.000965043	0.003012999	0.003739963	0.003162172	0.001140553	0.001257671	0.00256613	0.003701544	0.001619268	0.002954745	0.003958374	0.0038661	0.003923539	0.002081488	0.002549387	0.000174518	0.000754824	0.002376865	0.001830866	0.002041154	0.001173587	0.000847665	0.001953041	0.00379917	0.000322212	0.00056048	0.003178087	0.00037143	0.0020472	0.002727119	0.000877293	0.001737044	0.000292941	0.000572004	0.001213207	0.001372268	0.000714113	0.000516485	0.000826881	0.000828292	0.000178504	0.000126738	0.00269659	0.002731525	0.002697927	0.00183456	0.002805499	0.003122285	0.002502284	0.000924263
D-arabinose degradation	0	0	1.99E-07	0	0	0	0	0	7.09E-07	1.63E-07	1.91E-07	0	6.01E-07	5.01E-07	1.57E-07	7.82E-08	4.08E-08	3.76E-07	2.53E-07	0	1.49E-06	0	0	2.84E-07	0	0	0	2.87E-08	0	0	1.80E-09	0	0	0	0	0	0	0	0	4.71E-10	0	0	0	0	0	3.85E-08	1.01E-08	0	1.15E-09	0	0
CMP-pseudaminate biosynthesis	6.15E-05	7.47E-06	1.41E-06	6.72E-05	0.000102587	1.51E-05	2.82E-05	0	0.000161138	4.68E-06	2.10E-06	1.52E-05	2.23E-05	5.36E-06	1.62E-05	2.68E-06	2.28E-06	1.26E-05	8.27E-06	0.000141373	8.30E-05	4.06E-06	8.55E-06	4.70E-05	0	9.48E-06	6.58E-06	7.36E-06	1.76E-06	6.56E-06	5.99E-09	0	5.32E-05	0	0	0	6.45E-05	4.45E-05	1.17E-06	7.37E-06	2.36E-06	6.66E-07	0	5.39E-05	0	0	1.41E-05	0	0	6.74E-05	6.87E-05
D-galacturonate degradation II	0	0	3.51E-07	1.19E-06	1.66E-08	0	0	0	7.52E-07	4.92E-07	2.68E-07	0	6.96E-07	2.44E-06	1.61E-07	8.35E-08	4.26E-08	3.85E-07	4.00E-07	0	2.55E-06	0	0	2.89E-07	0	0	0	2.92E-08	0	0	1.80E-09	0	0	0	0	0	0	0	0	4.71E-10	0	0	0	0	0	3.85E-08	1.01E-08	0	1.15E-09	0	0
D-xylose degradation III	0	0	0	0	0	0	0	0	2.24E-07	4.24E-07	6.93E-08	0	5.14E-07	1.46E-08	0	0	4.21E-08	3.84E-07	7.64E-09	0	0	0	0	0	0	0	0	2.74E-08	0	0	1.80E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.001167313	0.000934494	0.002334654	0.002907793	0.002322769	0.000853678	0.001011831	0.001546632	0.001991481	0.001785789	0.002638026	0.003198905	0.002810985	0.003132717	0.00250259	0.001872649	8.72E-05	0.000965232	0.001983142	0.00145667	0.001701985	0.001034222	0.00098887	0.000997098	0.0024855	0.000448388	0.000376371	0.002370225	0.00054335	0.001918411	0.002447076	0.000414075	0.001258028	0.002172232	0.000510603	0.000975829	0.001241371	0.000350361	0.000472441	0.000644439	0.001482855	0.000105779	0.000164846	0.002061831	0.002255877	0.001649089	0.001234845	0.001433245	0.00194517	0.002550627	0.000636675
ADP-L-glycero-β-D-manno-heptose biosynthesis	0.000624917	0.000663853	0.001742366	0.003655539	0.002322581	0.000611414	0.000915716	0.000892348	0.001500338	0.00292685	0.003216108	0.003065987	0.00283383	0.003244645	0.001121985	0.001496765	0.000610083	0.001848843	0.001671402	0.002129423	0.001977153	0.000637895	0.000629612	0.000941737	0.000967809	0.001739579	0.000922898	0.0018828	0.000524533	0.001414753	0.001064745	0.000964466	0.000585859	0.000949306	0.000242801	0.000889769	0.002099134	0.001291253	0.000887225	0.000328449	0.000791934	4.10E-05	0.001356769	0.001119689	0.001531476	0.000449853	0.001178337	0.000632176	0.000858463	0.001368531	0.001787728
tRNA processing	0.000992506	0.001122709	0.003747893	0.003557827	0.002014974	0.000796368	0.001585804	0.002003657	0.002479751	4.05E-05	0.002819329	0.004041638	0.00411763	0.003607966	0.001714129	0.002530445	0.000124086	0.001153097	0.002209776	0.001532735	0.001186021	0.001330505	0.001202324	0.002675502	0.002863259	4.26E-05	0.00076808	0.00314269	0.000444358	0.002127111	0.00173437	0.000819466	0.001334646	0.000335742	0.000492288	0.001414786	0.001969639	0.000721829	0.000910752	0.000976594	0.001271523	0.000372651	8.48E-05	0.001175583	0.002700455	0.002139021	0.001689342	0.00198365	0.002411361	0.002141785	0.000691869
4-hydroxyacetophenone degradation	0	0	0	5.07E-10	0	0	0	0	5.49E-08	0	1.12E-10	0	5.17E-08	1.25E-07	1.14E-08	6.12E-09	0	2.82E-08	2.85E-08	0	0	0	0	2.13E-08	0	0	0	8.90E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
