Taxa	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
g__Tannerella	0.001929238	0	0	0.000952801	0.012093592	0.000932894	0.000686611	0	0.023138973	0	0.000375587	0.000595504	0.001084042	0.000272582	0.004636264	0	0	0.000260688	0.00155829	0.006128578	0.00293359	0	0	0.002896452	0	6.38E-05	5.79E-05	0.000372301	0	0	0	0	0.003011224	0	0	0.001242711	0.000309087	0.003522874	0.000153959	0	0	0	0	0	0	0.006053935	0	0	0	0.000402674	0.004379275
g__Capnocytophaga	0.000792366	0.000378501	0.00048528	0.034318483	0.021921226	0.002612103	0.000490436	0	0.053197038	0	0.000619718	0.00074438	0	0.002419162	0.001348731	0	0	0.000347584	0.000649287	0	0.002124324	0	0	0	0	0	0.000608237	0.000744602	0	0	0	0	0.011114153	0	0	0	0.000978776	0	0.000153959	0.000111216	0	0	0.001881611	0	0	0	0	0	0	0	0
f__Weeksellaceae	0	0.001514005	0.00132104	0.009192766	0.008631005	0.001865788	0.000686611	0	0.004207086	0.000145985	0.001389671	0.001414322	0.001597535	0.010494395	0.001348731	0.002649741	0	0.002693778	0.001525825	0	0.007081078	0.00060683	0.001283129	0	0	0	0.000492383	0.001489203	0	0.000156169	0	0	0.000930742	0	0	0	0.001184834	0.000645033	0	0.000889729	0	0	7.63E-05	0	0	0	0	0	0	0.003704599	0
g__Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001011549	0	8.75E-05	0	0.000162322	0.000367715	0	0.001765322	0	0.00057929	0.016008538	0	0.000289637	0	0.000630156	0.000364394	0.01856308	0	0	0.00116901	0	0	0	0	0.000153959	0	0.000345543	0.000315856	0	0.001046338	0.009395973	0.014859659	0.004424779	0.019011407	0.03875969	0.000483209	0.000639669
g__Selenomonas	0.005098701	0	8.09E-05	0.000282311	0.055274079	0.003047453	0.000588524	0	0.006936476	0.000729927	0.000544601	0.001637636	0.000912877	0	0	0	0	0	0.000454501	0.002696574	0.007182237	0.000717162	0.000176983	0	0	0.000297917	0.000492383	0.0001241	0	0	0	0	0	0	0	0.000573559	0.001699979	0.000297708	0.000192448	0	0	0	0.002008747	0	0	0	0	0	0.006459948	0.002335508	0.001033312
g__Veillonella;s__parvula	0.008199263	0.00799058	0.004313599	0.065955007	0.02243043	0.012873935	0.005787151	0	0.015002955	0.122992701	0.135380282	0.073693613	0.006047812	0.020648063	0.015426115	0.001756224	0.000437369	0.055236937	0.020777197	0.018201875	0.108391078	0.002151487	0.003451175	0.009413469	0	0.007150001	0.024590164	0.001334078	0.00515582	0.00812077	0.006531454	0	0.00804818	0	0.00693898	0.016155243	0.018751288	0.028182991	0.006158346	0.000333648	0.000380097	0	0.032673922	0.016143498	0	0.006604293	0	0.024714829	0	0.005637433	0.025488363
f__Comamonadaceae	0.00151583	0.000378501	0.00016176	0.000458756	0	0.001243858	0.00107896	0.079507279	0.016237266	0	0	0	0.000399384	0.000272582	0.005479221	0.000246488	0	0.000608273	0.000746681	0	0.001416216	0.000551663	0.001769833	0.008254888	0.171824973	8.51E-05	8.69E-05	0.000899727	0.002348763	0.000312337	0.032657271	0.002890685	0.001204489	0	0.00779741	0.003536947	0	0	0.000423386	0.003948173	0.000138217	0.002391481	0.000254272	0.007174888	0.088590604	0.050632911	0.005899705	0.08365019	0.058139535	0.002899251	0.003198347
g__Kingella	0.000310056	0.00126167	0	0.090127922	0.002851542	0.005410784	0.000980873	0	0.002086158	0	0.000995305	0.017195176	0	0.006269379	0.004551968	0.000154055	0	0.001853783	0.00051943	0.001103144	0.005563704	0	0	0	0	0	0	0	0	0	0.002406325	0	0.00344922	0	0	0	0.001648465	0	0	0	0	0	0	0	0	0	0	0	0.028423773	0	0.000393643
g__Haemophilus;s__parainfluenzae	0.000654563	0.026705358	0.090289011	0.112783414	0.043995213	0	0.020598333	0	0.013768645	0.000255474	0.112882629	0.162647015	0.140126662	0.201028996	0.029587794	0.078506285	0	0.004982041	0.093140279	0.008947723	0.006929341	0.029072654	0.013362241	0.012020275	0	0	0.000579274	0.08655994	0.000515582	0.07699115	0	0	0.008157679	9.61E-05	0	0.013574228	0	0	0.000307917	0.014291275	0.020352453	0.001037812	0	0.001943199	0	0	0.012291052	0	0.018087855	0.016912298	0
g__Stenotrophomonas	0.001205774	0.000504668	0.00035048	7.06E-05	0	0.00043535	0.001177048	0.020156775	0	0	0	0.003945214	0.000399384	0.000136291	0.00177021	0.000400542	0.00139958	0.000492411	0.000422037	0.003554575	0.001365637	0.002868649	0.001150392	0.006227371	0.011739594	0.000702232	0.001158547	0.000341276	0.001260312	0.000260281	0.026813338	0.003362633	0.005146455	0	0.003147579	0.004397285	0	0.001190831	0.000384897	0.000667297	0.001071182	0.000180489	0.000330553	0.00568012	0.034899329	0.010456797	0.0093412	0.007604563	0.063307494	0.003865668	0.004871328
f__Lachnospiraceae	0.000930168	0	8.09E-05	0.00478165	0.028413575	0.000621929	0	0.002239642	0.006866938	0	0.000525822	0.001265446	0.00154048	0	0.006237882	0.000708652	0.000568579	0	0.001136253	0.0137893	0.015325477	0	0.000353967	0	0	0.000638393	0.000173782	0.001737404	0	0.002654867	0	0	0.001313989	0.000400346	0.000286144	0.000477966	0.000515145	0.001587774	0	0	0	0	0	0.007772795	0	0	0	0	0	0.001288556	0.000295232
