Pathways	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
1CMET2-PWY	13036.4212	16500.3266	21228.3647	38254.6585	25469.7802	9766.8107	6559.6924	503.3177	37590.7994	15205.3707	37713.0713	8498.1914	9025.0757	20839.7356	7553.2289	21151.1458	12897.3456	17257.5729	22100.541	9387.8821	12267.5009	12812.5612	15865.9204	3654.6655	1227.1918	24006.0971	22694.6015	20944.8564	10915.6466	13032.5753	1554.0616	6326.066	11985.3341	29187.1543	9751.9726	6173.1875	10454.2799	10318.3945	16592.1822	12739.246	20867.8058	16234.4326	21432.6564	3832.0087	428.0844	1076.5884	1091.1604	331.6943	459.17	5918.1561	8314.0794
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	47.0758	25.4741	23.1272	148.1161	1.4661	21.4491	34.7705	74.5674	126.3134	4.3333	26.128	40.3459	42.6533	133.4081	74.4005	18.2673	17.1996	120.8316	63.7568	65.0266	44.2961	47.191	43.2672	92.3676	441.1499	9.3891	41.2787	119.0545	52.3287	23.4175	363.6228	145.5389	77.5266	80.2558	120.3778	52.8972	365.2856	28.7192	273.1563	87.3199	41.8153	52.1738	13.577	302.2101	103.1159	113.8791	27.4546	49.7184	47.2057	81.4629	30.2238
AEROBACTINSYN-PWY	0.0	1.0018	2.5175	3.2301	0.0265	4.4776	2.3779	0.2273	4.6675	0.3826	0.6245	1.2404	12.4686	6.4244	7.151	0.8834	1.4714	2.8784	3.3787	1.1373	0.0006	5.9801	1.8834	1.3453	6.9486	0.0	0.8603	4.5958	0.0	0.0	56.2198	3.9537	4.6764	0.3422	9.9277	3.0809	0.0	2.4769	7.2735	4.9255	2.6691	1.9854	0.2252	20.4407	0.0	0.0	0.0021	0.4184	0.0146	0.0	0.0
ALL-CHORISMATE-PWY	199.1719	264.023	1056.3265	5209.4396	3229.75	325.3208	260.8461	104.9516	3573.92	106.4681	781.7956	718.5502	874.2718	2256.7341	346.2865	933.4776	111.1367	1243.4862	702.467	1123.745	1250.8231	456.9367	411.8082	422.9381	522.7782	181.8416	750.4777	1369.6249	190.6538	141.5565	651.0712	713.2096	806.8278	572.1431	165.0868	479.1394	2176.6808	348.017	1332.5477	396.76	301.1238	138.1413	134.613	819.6627	176.9539	172.9074	177.355	72.626	82.0095	827.9884	193.2732
ANAEROFRUCAT-PWY	14775.6061	16096.0851	22350.1955	43826.0991	25119.1287	8874.115	6552.8781	575.028	40044.8663	18556.4099	39914.6078	8727.2999	9246.9512	21222.0307	8465.9698	22718.0243	6194.4946	18456.429	21708.2096	10949.4625	13948.9949	8611.1617	11408.0233	3859.0504	1388.3183	27616.4995	20111.7331	23519.942	8503.078	11529.3443	2227.7017	7814.0995	10836.1121	36631.6322	4236.5141	6540.5328	11547.2832	12470.9298	11510.6189	9705.3774	12661.0165	5915.5584	22518.1127	4062.5435	486.8813	1125.8851	1225.7386	353.8223	530.7411	7537.4057	10558.3037
ANAGLYCOLYSIS-PWY	16764.7334	20334.2827	24707.6601	44959.0117	30061.6587	11288.875	7907.0864	663.1429	44968.6509	19457.175	41662.8097	9824.0383	10669.8912	23988.1453	9103.9958	25261.2475	16722.1056	21239.5301	25383.6225	12082.4227	15311.7676	14414.851	17918.6429	4271.5754	1531.0981	30939.6531	25633.5502	25492.3834	12680.2233	14708.0022	2247.0903	10758.1302	13623.5566	37811.6481	11214.785	7725.8515	12259.9338	13910.0398	18850.2703	14770.5083	23328.1382	18465.7221	26101.8532	4533.2653	526.0635	1321.4557	1329.1157	429.1008	592.4203	9013.0474	10578.8935
ARG+POLYAMINE-SYN	3655.7312	1650.0453	4590.0757	16054.8047	11112.7324	2351.6596	1494.1074	217.2929	13409.2513	5555.8442	8508.7007	3341.6492	2715.7492	6303.4106	1976.9768	4839.1468	2022.2845	7048.6054	4990.3271	3972.4652	4393.5208	1651.5525	1670.1065	1035.4601	593.7491	7052.5013	5257.3988	4364.8874	1875.2257	2290.8326	855.8968	1535.9151	2952.6962	5530.4451	1137.3715	1745.4263	4626.0857	3644.4307	4200.9279	1032.258	840.5199	244.4029	4845.0566	1846.208	245.8347	365.5844	400.316	162.2761	203.9138	1733.9265	2985.3404
ARGDEG-PWY	0.0	19.6189	31.2857	18.5126	0.1038	19.553	48.4675	22.7146	123.1948	0.612	2.1469	115.3239	90.2846	35.9778	36.493	4.3102	16.9303	180.1016	92.1512	110.8178	84.118	66.6799	55.1749	55.2263	242.7366	18.4013	143.2339	125.1293	50.9027	14.1121	234.5204	164.7891	198.1117	159.5019	28.5907	51.8464	690.1539	39.4196	446.8665	57.2729	68.7717	34.9169	14.674	114.8371	79.9549	39.9168	33.4299	20.9956	22.3168	170.3712	46.8252
ARGORNPROST-PWY	3787.592	8496.5371	9408.3659	17465.8771	4252.052	4207.5225	2997.5835	237.6255	10873.6965	5174.7761	11877.6869	2849.4312	3316.0286	6165.7222	2147.1171	9503.3663	2052.888	7130.8431	5346.0739	3362.6452	3159.8083	2676.4774	3611.3847	1690.3541	456.3376	14735.9149	7743.7643	9437.2329	3165.1004	2709.6851	1476.7969	1383.3323	3565.471	6992.9697	2013.5919	3332.7164	3053.5375	3635.2454	3884.9701	5183.4709	401.4047	3591.4852	10632.457	1396.6209	200.0572	555.6838	408.0477	166.7275	190.4688	1338.5497	2279.2638
ARGSYN-PWY	6719.8928	2079.3568	7210.1623	34454.4671	17027.8178	4577.8379	1831.1489	385.3569	21401.3363	13229.6124	23479.1111	5096.6347	4415.7178	9704.9889	2781.1829	5852.6976	2902.1052	10125.6355	6608.9159	7052.5855	9059.6539	2370.4123	2641.2427	1637.4819	1096.0434	13268.3059	8326.3962	8457.8284	3770.4372	2902.5182	1601.362	2846.3534	4709.4323	10957.3091	3261.9679	2503.0276	5489.752	4618.5727	5632.999	1795.81	1364.0358	1193.4598	11095.6984	2716.0767	322.9921	651.3118	538.4568	277.9158	314.3902	2685.7959	4700.259
